realization     PHI             
0               6.405000e+03    
1               6.327000e+03    
2               6.544000e+03    
3               6.322000e+03    
5               6.311000e+03    
6               6.524000e+03    
7               6.375000e+03    
8               6.459000e+03    
9               6.504000e+03    
10              6.604000e+03    
11              6.278000e+03    
12              6.275000e+03    
13              6.263000e+03    
15              5.941000e+03    
17              9.060000e+03    
19              6.480000e+03    
20              6.234000e+03    
21              6.218000e+03    
22              6.335000e+03    
23              6.312000e+03    
24              6.423000e+03    
25              6.621000e+03    
26              6.396000e+03    
27              5.948000e+03    
28              6.265000e+03    
30              6.480000e+03    
31              6.298000e+03    
32              6.335000e+03    
33              6.433000e+03    
34              6.526000e+03    
37              6.285000e+03    
38              6.452000e+03    
39              6.310000e+03    
40              6.106000e+03    
41              7.413000e+03    
44              6.363000e+03    
45              6.345000e+03    
46              6.314000e+03    
47              6.489000e+03    
48              6.278000e+03    
49              6.244000e+03    
50              5.922000e+03    
51              6.529000e+03    
52              6.337000e+03    
53              6.313000e+03    
54              6.492000e+03    
56              6.414000e+03    
57              6.229000e+03    
58              6.561000e+03    
59              6.331000e+03    
60              6.228000e+03    
61              6.360000e+03    
62              6.318000e+03    
63              6.352000e+03    
64              6.177000e+03    
65              6.363000e+03    
66              5.811000e+03    
67              6.552000e+03    
68              6.252000e+03    
69              6.301000e+03    
70              6.282000e+03    
71              6.404000e+03    
72              6.245000e+03    
73              6.465000e+03    
74              6.455000e+03    
76              6.486000e+03    
77              6.434000e+03    
78              6.313000e+03    
80              6.398000e+03    
81              6.283000e+03    
82              6.181000e+03    
84              6.367000e+03    
85              6.306000e+03    
86              6.391000e+03    
87              6.353000e+03    
88              6.288000e+03    
90              6.114000e+03    
91              6.341000e+03    
92              6.391000e+03    
93              6.451000e+03    
94              6.337000e+03    
95              6.442000e+03    
96              6.662000e+03    
97              6.404000e+03    
98              6.328000e+03    
99              6.026000e+03    
100             6.337000e+03    
102             6.412000e+03    
103             6.449000e+03    
104             6.281000e+03    
105             6.283000e+03    
107             6.290000e+03    
108             6.315000e+03    
109             6.033000e+03    
110             6.378000e+03    
111             8.873000e+03    
112             6.293000e+03    
113             6.263000e+03    
114             6.331000e+03    
115             6.328000e+03    
116             6.688000e+03    
117             6.436000e+03    
118             6.399000e+03    
119             6.427000e+03    
120             6.253000e+03    
122             6.418000e+03    
123             6.330000e+03    
124             6.304000e+03    
125             6.296000e+03    
126             6.399000e+03    
127             6.310000e+03    
128             6.665000e+03    
129             6.389000e+03    
130             6.286000e+03    
131             6.461000e+03    
132             6.347000e+03    
133             6.454000e+03    
135             6.601000e+03    
136             6.368000e+03    
137             5.992000e+03    
138             6.229000e+03    
139             8.968000e+03    
140             6.437000e+03    
141             6.356000e+03    
142             6.417000e+03    
143             6.404000e+03    
144             6.343000e+03    
145             7.216000e+03    
146             6.578000e+03    
147             6.321000e+03    
148             6.479000e+03    
149             6.386000e+03    
150             6.371000e+03    
151             6.250000e+03    
152             6.334000e+03    
153             6.389000e+03    
154             6.389000e+03    
155             6.499000e+03    
156             6.326000e+03    
157             6.381000e+03    
159             5.913000e+03    
160             7.270000e+03    
161             6.268000e+03    
162             6.397000e+03    
163             7.345000e+03    
165             6.497000e+03    
166             6.427000e+03    
167             6.260000e+03    
168             6.325000e+03    
169             6.268000e+03    
170             6.463000e+03    
171             6.472000e+03    
173             6.241000e+03    
174             6.275000e+03    
175             6.420000e+03    
176             6.271000e+03    
177             6.531000e+03    
179             6.286000e+03    
180             6.430000e+03    
181             6.284000e+03    
182             6.283000e+03    
183             7.084000e+03    
184             8.788000e+03    
185             6.501000e+03    
186             6.308000e+03    
189             6.424000e+03    
190             6.390000e+03    
191             6.476000e+03    
192             6.372000e+03    
194             6.478000e+03    
195             5.965000e+03    
196             6.309000e+03    
197             6.249000e+03    
198             6.339000e+03    
199             6.082000e+03    
200             6.229000e+03    
201             6.493000e+03    
202             6.598000e+03    
203             6.301000e+03    
204             6.408000e+03    
205             6.286000e+03    
206             6.325000e+03    
207             6.374000e+03    
208             6.212000e+03    
